record_id,minute_index,label,representation,preprocessing_version
a01,1,N,waveform,v2
a01,1,N,stft,v2
a01,1,N,cwt,v2
a01,2,N,waveform,v2
a01,2,N,stft,v2
a01,2,N,cwt,v2
a01,3,N,waveform,v2
a01,3,N,stft,v2
a01,3,N,cwt,v2
a01,4,N,waveform,v2
a01,4,N,stft,v2
a01,4,N,cwt,v2
a01,5,N,waveform,v2
a01,5,N,stft,v2
a01,5,N,cwt,v2
a01,6,N,waveform,v2
a01,6,N,stft,v2
a01,6,N,cwt,v2
a01,7,N,waveform,v2
a01,7,N,stft,v2
a01,7,N,cwt,v2
a01,8,N,waveform,v2
a01,8,N,stft,v2
a01,8,N,cwt,v2
a01,9,N,waveform,v2
a01,9,N,stft,v2
a01,9,N,cwt,v2
a01,10,N,waveform,v2
a01,10,N,stft,v2
a01,10,N,cwt,v2
a01,11,N,waveform,v2
a01,11,N,stft,v2
a01,11,N,cwt,v2
a01,12,N,waveform,v2
a01,12,N,stft,v2
a01,12,N,cwt,v2
a01,13,A,waveform,v2
a01,13,A,stft,v2
a01,13,A,cwt,v2
a01,14,A,waveform,v2
a01,14,A,stft,v2
a01,14,A,cwt,v2
a01,15,A,waveform,v2
a01,15,A,stft,v2
a01,15,A,cwt,v2
a01,16,A,waveform,v2
a01,16,A,stft,v2
a01,16,A,cwt,v2
a01,17,A,waveform,v2
a01,17,A,stft,v2
a01,17,A,cwt,v2
a01,18,A,waveform,v2
a01,18,A,stft,v2
a01,18,A,cwt,v2
a01,19,A,waveform,v2
a01,19,A,stft,v2
a01,19,A,cwt,v2
a01,20,A,waveform,v2
a01,20,A,stft,v2
a01,20,A,cwt,v2
a01,21,A,waveform,v2
a01,21,A,stft,v2
a01,21,A,cwt,v2
a01,22,A,waveform,v2
a01,22,A,stft,v2
a01,22,A,cwt,v2
a01,23,A,waveform,v2
a01,23,A,stft,v2
a01,23,A,cwt,v2
a01,24,A,waveform,v2
a01,24,A,stft,v2
a01,24,A,cwt,v2
a01,25,A,waveform,v2
a01,25,A,stft,v2
a01,25,A,cwt,v2
a01,26,A,waveform,v2
a01,26,A,stft,v2
a01,26,A,cwt,v2
a01,27,A,waveform,v2
a01,27,A,stft,v2
a01,27,A,cwt,v2
a01,28,A,waveform,v2
a01,28,A,stft,v2
a01,28,A,cwt,v2
a01,29,A,waveform,v2
a01,29,A,stft,v2
a01,29,A,cwt,v2
a01,30,A,waveform,v2
a01,30,A,stft,v2
a01,30,A,cwt,v2
a01,31,A,waveform,v2
a01,31,A,stft,v2
a01,31,A,cwt,v2
a01,32,A,waveform,v2
a01,32,A,stft,v2
a01,32,A,cwt,v2
a01,33,A,waveform,v2
a01,33,A,stft,v2
a01,33,A,cwt,v2
a01,34,A,waveform,v2
a01,34,A,stft,v2
a01,34,A,cwt,v2
a01,35,A,waveform,v2
a01,35,A,stft,v2
a01,35,A,cwt,v2
a01,36,A,waveform,v2
a01,36,A,stft,v2
a01,36,A,cwt,v2
a01,37,A,waveform,v2
a01,37,A,stft,v2
a01,37,A,cwt,v2
a01,38,A,waveform,v2
a01,38,A,stft,v2
a01,38,A,cwt,v2
a01,39,A,waveform,v2
a01,39,A,stft,v2
a01,39,A,cwt,v2
a01,40,A,waveform,v2
a01,40,A,stft,v2
a01,40,A,cwt,v2
a01,41,A,waveform,v2
a01,41,A,stft,v2
a01,41,A,cwt,v2
a01,42,A,waveform,v2
a01,42,A,stft,v2
a01,42,A,cwt,v2
a01,43,A,waveform,v2
a01,43,A,stft,v2
a01,43,A,cwt,v2
a01,44,A,waveform,v2
a01,44,A,stft,v2
a01,44,A,cwt,v2
a01,45,A,waveform,v2
a01,45,A,stft,v2
a01,45,A,cwt,v2
a01,46,A,waveform,v2
a01,46,A,stft,v2
a01,46,A,cwt,v2
a01,47,A,waveform,v2
a01,47,A,stft,v2
a01,47,A,cwt,v2
a01,48,A,waveform,v2
a01,48,A,stft,v2
a01,48,A,cwt,v2
a01,49,A,waveform,v2
a01,49,A,stft,v2
a01,49,A,cwt,v2
a01,50,A,waveform,v2
a01,50,A,stft,v2
a01,50,A,cwt,v2
a01,51,A,waveform,v2
a01,51,A,stft,v2
a01,51,A,cwt,v2
a01,52,A,waveform,v2
a01,52,A,stft,v2
a01,52,A,cwt,v2
a01,53,A,waveform,v2
a01,53,A,stft,v2
a01,53,A,cwt,v2
a01,54,A,waveform,v2
a01,54,A,stft,v2
a01,54,A,cwt,v2
a01,55,A,waveform,v2
a01,55,A,stft,v2
a01,55,A,cwt,v2
a01,56,A,waveform,v2
a01,56,A,stft,v2
a01,56,A,cwt,v2
a01,57,A,waveform,v2
a01,57,A,stft,v2
a01,57,A,cwt,v2
a01,58,A,waveform,v2
a01,58,A,stft,v2
a01,58,A,cwt,v2
a01,59,A,waveform,v2
a01,59,A,stft,v2
a01,59,A,cwt,v2
a01,60,A,waveform,v2
a01,60,A,stft,v2
a01,60,A,cwt,v2
a01,61,A,waveform,v2
a01,61,A,stft,v2
a01,61,A,cwt,v2
a01,62,A,waveform,v2
a01,62,A,stft,v2
a01,62,A,cwt,v2
a01,63,A,waveform,v2
a01,63,A,stft,v2
a01,63,A,cwt,v2
a01,64,A,waveform,v2
a01,64,A,stft,v2
a01,64,A,cwt,v2
a01,65,A,waveform,v2
a01,65,A,stft,v2
a01,65,A,cwt,v2
a01,66,A,waveform,v2
a01,66,A,stft,v2
a01,66,A,cwt,v2
a01,67,A,waveform,v2
a01,67,A,stft,v2
a01,67,A,cwt,v2
a01,68,A,waveform,v2
a01,68,A,stft,v2
a01,68,A,cwt,v2
a01,69,A,waveform,v2
a01,69,A,stft,v2
a01,69,A,cwt,v2
a01,70,A,waveform,v2
a01,70,A,stft,v2
a01,70,A,cwt,v2
a01,71,A,waveform,v2
a01,71,A,stft,v2
a01,71,A,cwt,v2
a01,72,A,waveform,v2
a01,72,A,stft,v2
a01,72,A,cwt,v2
a01,73,A,waveform,v2
a01,73,A,stft,v2
a01,73,A,cwt,v2
a01,74,A,waveform,v2
a01,74,A,stft,v2
a01,74,A,cwt,v2
a01,75,A,waveform,v2
a01,75,A,stft,v2
a01,75,A,cwt,v2
a01,76,A,waveform,v2
a01,76,A,stft,v2
a01,76,A,cwt,v2
a01,77,A,waveform,v2
a01,77,A,stft,v2
a01,77,A,cwt,v2
a01,78,A,waveform,v2
a01,78,A,stft,v2
a01,78,A,cwt,v2
a01,79,A,waveform,v2
a01,79,A,stft,v2
a01,79,A,cwt,v2
a01,80,A,waveform,v2
a01,80,A,stft,v2
a01,80,A,cwt,v2
a01,81,A,waveform,v2
a01,81,A,stft,v2
a01,81,A,cwt,v2
a01,82,A,waveform,v2
a01,82,A,stft,v2
a01,82,A,cwt,v2
a01,83,A,waveform,v2
a01,83,A,stft,v2
a01,83,A,cwt,v2
a01,84,A,waveform,v2
a01,84,A,stft,v2
a01,84,A,cwt,v2
a01,85,A,waveform,v2
a01,85,A,stft,v2
a01,85,A,cwt,v2
a01,86,A,waveform,v2
a01,86,A,stft,v2
a01,86,A,cwt,v2
a01,87,A,waveform,v2
a01,87,A,stft,v2
a01,87,A,cwt,v2
a01,88,A,waveform,v2
a01,88,A,stft,v2
a01,88,A,cwt,v2
a01,89,A,waveform,v2
a01,89,A,stft,v2
a01,89,A,cwt,v2
a01,90,A,waveform,v2
a01,90,A,stft,v2
a01,90,A,cwt,v2
a01,91,A,waveform,v2
a01,91,A,stft,v2
a01,91,A,cwt,v2
a01,92,A,waveform,v2
