record_id,split
a01,val
a02,train
a03,val
a04,train
a05,train
a06,train
a07,train
a08,val
a09,train
a10,train
a11,train
a12,train
a13,train
a14,train
a15,train
a16,train
a17,train
a18,val
a19,train
a20,train
b01,val
b02,train
b03,train
b04,train
b05,val
c01,val
c02,train
c03,train
c04,val
c05,train
c06,train
c07,train
c08,train
c09,train
c10,train
x01,test
x02,test
x03,test
x04,test
x05,test
x06,test
x07,test
x08,test
x09,test
x10,test
x11,test
x12,test
x13,test
x14,test
x15,test
x16,test
x17,test
x18,test
x19,test
x20,test
x21,test
x22,test
x23,test
x24,test
x25,test
x26,test
x27,test
x28,test
x29,test
x30,test
x31,test
x32,test
x33,test
x34,test
x35,test
